-4.474499262869358063e-03,1.034016441553831100e-02,1.489674806594848633e+00
1.587875283136361004e-01,1.034016441553831100e-02,1.701880227868240780e+00
3.220429991482973708e-01,1.034016441553831100e-02,1.848704768595632375e+00
4.852919137690160367e-01,1.034016441553831100e-02,1.930153173343125195e+00
6.485342727018073017e-01,1.034016441553831100e-02,1.946228081014040212e+00
8.117700764731703433e-01,1.034016441553831100e-02,1.896930411740961775e+00
9.749993256095423888e-01,1.034016441553831100e-02,1.782261833273225626e+00
1.138222020637297938e+00,1.034016441553831100e-02,1.602225991908975855e+00
1.301438162082747985e+00,1.034016441553831100e-02,1.356828655616844959e+00
1.464647750472137355e+00,1.034016441553831100e-02,1.046077782268781897e+00
1.627850786331650479e+00,1.034016441553831100e-02,6.699833417501157573e-01
